Worst 10 recipes from the sustainability_score perspective in the old database
Recipe; Sustainability Score; URL
Basic Fried Rice - With Variations ; 1.0 ; https://www.food.com/recipe/basic-fried-rice-with-variations-248707
Five Meat Chili Con Carne With Beans ; 0.9714538116434204 ; https://www.food.com/recipe/five-meat-chili-con-carne-with-beans-13568
Middle Eastern Slow-Cooked Stew With Lamb, Chickpeas, and Figs ; 0.96845815092894 ; https://www.food.com/recipe/middle-eastern-slow-cooked-stew-with-lamb-chickpeas-and-figs-144850
Rich Lamb Curry ; 0.9605043058827348 ; https://www.food.com/recipe/rich-lamb-curry-268247
Curried Lamb on Rice ; 0.9510240380047836 ; https://www.food.com/recipe/curried-lamb-on-rice-373244
Roast Leg of Lamb Continental ; 0.950970070144496 ; https://www.food.com/recipe/roast-leg-of-lamb-continental-302898
How to Boil a Lobster ; 0.9317374510399308 ; https://www.food.com/recipe/how-to-boil-a-lobster-227841
Greek Style Lamb and Macaroni Casserole ; 0.876437800238137 ; https://www.food.com/recipe/greek-style-lamb-and-macaroni-casserole-23988
Baked Lamb and Yogurt (Albanian Name: Tavë Kosi) ; 0.8712889150672434 ; https://www.food.com/recipe/baked-lamb-and-yogurt-albanian-name-tav-kosi-295521
Rich Lasagne ; 0.8669968901225934 ; https://www.food.com/recipe/rich-lasagne-207050
