Worst 10 recipes from the cfp_sustainability perspective
Recipe; CFP; URL
Amy Truong Zucchini Low-Carb Lasagna ; 1.0637255569528699 ; https://www.food.com/recipe/amy-truong-zucchini-low-carb-lasagna-521585
Baked "ziti" W/ Tofu Shirataki ; 1.063513809671229 ; https://www.food.com/recipe/baked-ziti-w-tofu-shirataki-297437
Buffalo Burgers ; 1.049063514106289 ; https://www.food.com/recipe/buffalo-burgers-225989
Buffalo Burgers, Won't You Come out Tonight? ; 1.048872856905536 ; https://www.food.com/recipe/buffalo-burgers-wont-you-come-out-tonight-131759
The Gobsmacked Leaning Tower of Buffalo Burger ; 1.045250096776821 ; https://www.food.com/recipe/the-gobsmacked-leaning-tower-of-buffalo-burger-231174
Hiller's Buffalo/Venison Chili ; 1.0289557564462997 ; https://www.food.com/recipe/hillers-buffalo-venison-chili-355319
Bison / Buffalo Pot Roast ; 1.0248719202498637 ; https://www.food.com/recipe/bison-buffalo-pot-roast-359754
Grilled Jalapeno Buffalo Burgers ; 1.0145036340551368 ; https://www.food.com/recipe/grilled-jalapeno-buffalo-burgers-4805
Buffalo Skewers ; 1.0101244179596451 ; https://www.food.com/recipe/buffalo-skewers-257675
The Italian Buffalo ; 1.005600056837137 ; https://www.food.com/recipe/the-italian-buffalo-70925
