Worst 10 recipes from the wfp_sustainability perspective
Recipe; WFP; URL
Cameline Sauce ; 1.5068079220265256 ; https://www.food.com/recipe/cameline-sauce-25207
Couscous Pilaf With Saffron Cream ; 1.3720564599687053 ; https://www.food.com/recipe/couscous-pilaf-with-saffron-cream-282710
Saffron-Scented Halibut with Spinach, Zucchini and Tomato ; 1.3711788840897774 ; https://www.food.com/recipe/saffron-scented-halibut-with-spinach-zucchini-and-tomato-40158
Oriental Rice Pudding With Rhubarb ; 1.0713989552406242 ; https://www.food.com/recipe/oriental-rice-pudding-with-rhubarb-479660
Indian Moghul  Chicken  Biryani ; 1.0405496090761561 ; https://www.food.com/recipe/indian-moghul-chicken-biryani-271524
Al Kabsa - Traditional Saudi Rice (& Chicken) Dish ; 1.0400291352871827 ; https://www.food.com/recipe/al-kabsa-traditional-saudi-rice-chicken-dish-289878
Taste of Heaven - Mushroom and Carrots Biryani ; 1.0400024800245835 ; https://www.food.com/recipe/taste-of-heaven-mushroom-and-carrots-biryani-64617
Chai Tea from Scratch ; 1.0399889946734933 ; https://www.food.com/recipe/chai-tea-from-scratch-220853
Curried Chicken Moghlai ; 1.0398145244807009 ; https://www.food.com/recipe/curried-chicken-moghlai-516283
Moroccan B'stella ; 1.0387883433417027 ; https://www.food.com/recipe/moroccan-bstella-425234
