FOOD COMMODITY GROUP;Food commodity TYPOLOGY;final_co2;final_wfp;notes
AGRICULTURAL PROCESSED;BEER;0,69;155,0;
AGRICULTURAL PROCESSED;BISCUITS;1,47;1870,3;
AGRICULTURAL PROCESSED;BREAD;0,86;901,8;
AGRICULTURAL PROCESSED;BREAKFAST CEREALS;2,64;2196,5;
ANIMAL HUSBANDRY;CHEESE FRESH;5,45;5253,0;
ANIMAL HUSBANDRY;CHEESE HARD & SEMI-HARD;9,59;5253,0;
AGRICULTURAL PROCESSED;CHOCOLATE;3,16;20717,0;
AGRICULTURAL PROCESSED;COFFEE GROUND & PARCHMENT;6,71;19956,0;
AGRICULTURAL PROCESSED;COFFEE LIQUID;0,55;960,0;
AGRICULTURAL PROCESSED;CRACKERS;0,98;1258,0;
AGRICULTURAL PROCESSED;CRISPBREAD;1,35;1423,3;
AGRICULTURAL PROCESSED;DRESSING;1,46;572,0;
CROPS;DRIED FRUIT;0,81;2636,5;
FISHING;FISH;5,19;2313,5;
FISHING;FISH FROZEN;2,20;2313,5;
FISHING;FISH PROCESSED;2,12;2313,5;
CROPS;FRUIT;2,15;748,0;cfps as avg of fruit heated in greenhouse and fruit not heated
AGRICULTURAL PROCESSED;FRUIT FROZEN;1,18;748,0;
AGRICULTURAL PROCESSED;FRUIT JUICE;2,86;1019,0;cfp of fruit juice importes
CROPS;FRUIT OPENFIELD;0,40;748,0;
AGRICULTURAL PROCESSED;GRAIN FLOUR;0,87;1889,5;
CROPS;GRAINS;0,57;1618,0;
AGRICULTURAL PROCESSED;ICE CREAM;4,30;1599,0;wfp of milk
AGRICULTURAL PROCESSED;LEGUME FLOUR;1,32;2523,0;
CROPS;LEGUMES;0,52;555,5;
AGRICULTURAL PROCESSED;LEGUMES CANNED;0,78;555,5;
CROPS;LEGUMES DRIED;0,52;4615,0;
CROPS;LEGUMES FRESH;0,52;555,5;
AGRICULTURAL PROCESSED;LEGUMES FROZEN;2,26;555,5;
ANIMAL HUSBANDRY;ANIMAL MILK;1,44;1599,0;
CROPS;NUTS;1,11;11264,0;wfp of nuts shelled
AGRICULTURAL PROCESSED;NUTS COVERED WITH CHOCOLATE;4,12;11264,0;wfp of nuts shelled
AGRICULTURAL PROCESSED;NUTS PASTE;1,84;11264,0;wfp of nuts shelled
AGRICULTURAL PROCESSED;OIL;2,11;6792,0;
AGRICULTURAL PROCESSED;PESTO;2,72;2174,0;
ANIMAL HUSBANDRY;PORK CURED MEAT;5,99;6177,0;
ANIMAL HUSBANDRY;POULTRY BONE FREE MEAT;3,88;4325,0;
ANIMAL HUSBANDRY;POULTRY MEAT WITH BONE;2,13;3330,3;
AGRICULTURAL PROCESSED;PROCESSED GRAINS (grouts, malt);0,57;2133,0;cfp of grains
CROPS;SEEDS;0,88;3087,5;
FISHING;SHELLFISH;5,67;1856,0;
FISHING;SHELLFISH FROZEN;11,47;1856,0;
CROPS;SPICIES;0,84;8280,0;
AGRICULTURAL PROCESSED;STARCHY TUBER;0,27;1523,0;
AGRICULTURAL PROCESSED;SUGAR;0,78;1294,5;
AGRICULTURAL PROCESSED;SWEETS;1,99;2158,0;
AGRICULTURAL PROCESSED;TOMATO PUREE,PEELED, CHOPPED;1,30;713,0;
AGRICULTURAL PROCESSED;TOMATO SAUCE;1,19;151,3;
CROPS;VEGETABLES;0,755;336,0; average of greenhoue not heated and vegetables openfield
AGRICULTURAL PROCESSED;VEGETABLES CANNED;1,48;806,6;
AGRICULTURAL PROCESSED;VEGETABLES FROZEN;0,81;750,5;
CROPS;VEGETABLES OPENFIELD;0,33;750,5;
AGRICULTURAL PROCESSED;VEGETAL MILK;0,54;2030,0;
AGRICULTURAL PROCESSED;VEGETAL PROTEINS;2,27;1724,5;
AGRICULTURAL PROCESSED;WINE;0,66;524,0;
ANIMAL HUSBANDRY;YOGURT;2,55;1540,0;
