ingredient,cfp,wfp,mapping_type,mapped_item
salt,,,no_match,NO_MATCH
sugar,"0,78",1782,ingredient,FRUCTOSE
butter,"8,48",5659,ingredient,BUTTER*
pepper,"0,65",379,ingredient,PEPPER
onion,"0,22",290,ingredient,ONION
flour,"0,87",1849,ingredient,WHEAT FLOUR
egg,"3,20",2562,ingredient,EGGS*
cheese,"8,93",5253,ingredient,CHEESE
milk,"1,31","1260,5",ingredient,COW MILK
water,"0,49",,ingredient,MINERAL WATER*
oil,"2,11",7529,ingredient,PEANUT OIL
garlic,"0,25",589,ingredient,GARLIC
tomato,"0,45",41,ingredient,TOMATO
cinnamon,"0,84",15526,ingredient,CINNAMON
vanilla,"4,30",,ingredient,VANILLA
cream,"5,45",3838,ingredient,CREAM
olive oil,"3,27",14415,ingredient,OLIVE OIL
sauce,"1,46",613,ingredient,SOY SAUCE
baking powder,,,no_match,NO_MATCH
potato,"0,24",555,ingredient,POTATO
juice,"0,46",1019,ingredient,ORANGE JUICE
carrot,"0,24",195,ingredient,CARROT
powder,"3,16",15618,ingredient,COCOA POWDER
ginger,"0,84",1657,ingredient,GINGER
brown sugar,"0,78","1294,5",typology,SUGAR
clove,"0,84",61205,ingredient,CLOVE
nutmeg,"0,84",34319,ingredient,NUTMEG
celery,"0,33","362,0",ingredient,CELERY
vinegar,,,no_match,NO_MATCH
parsley,"0,84","8280,0",typology,SPICIES
basil,"2,72","2174,0",typology,PESTO
chicken,"2,82",3330,ingredient,CHICKEN MEAT WITH BONE
mayonnaise,"1,46",572,ingredient,MAYONNAISE
beef,"17,96",10943,ingredient,BEEF MEAT WITH BONE*
lemon,"0,34",642,ingredient,LEMON
broth,,,no_match,NO_MATCH
rice,"2,19",1597,ingredient,RICE*
cream cheese,"8,93",5253,ingredient,CHEESE
bacon,"5,99",6116,ingredient,BACON
lemon juice,"0,46",1019,ingredient,ORANGE JUICE
apple,"0,25",622,ingredient,APPLE
baking soda,,,no_match,NO_MATCH
bean,"0,43",5053,ingredient,BEAN
soup,,,no_match,NO_MATCH
mustard,"0,88",2809,ingredient,MUSTARD SEED
sour cream,"5,45",3838,ingredient,CREAM
walnut,"2,06",11264,ingredient,WALNUT
spinach,"0,34",292,ingredient,SPINACH
wine,"0,87",524,ingredient,WINE RED
mushroom,"2,06",,ingredient,MUSHROOM*
margarine,"1,39",1324,ingredient,MARGARINE*
garlic clove,"0,25",589,ingredient,GARLIC
soda,,,no_match,NO_MATCH
bread,"0,86",667,ingredient,BREAD
raisin,"0,81","2636,5",ingredient,RAISIN
olive,"0,64",3015,ingredient,OLIVES
chocolate,"4,30",,ingredient,CHOCOLATE
almond,"1,88",11264,ingredient,ALMOND
banana,"0,34",748,ingredient,BANANA
soy sauce,"1,46",613,ingredient,SOY SAUCE
honey,"1,74",,ingredient,HONEY*
oregano,"0,84","8280,0",typology,SPICIES
pasta,"1,21",1508,ingredient,PASTA*
extract,"0,84",16259,ingredient,HOP EXTRACT
zucchini,"0,70",336,ingredient,ZUCCHINI
coconut,"0,81",2093,ingredient,COCONUTS
breadcrumb,"0,86",667,ingredient,BREAD
broccoli,"0,57",336,ingredient,BROCCOLI
cornstarch,,,no_match,NO_MATCH
vegetable oil,"3,27",14415,ingredient,OLIVE OIL
chicken breast,"3,68",3960,ingredient,CHICKEN BONE FREE MEAT
cocoa,"3,16",15618,ingredient,COCOA POWDER
oat,"0,67",1788,ingredient,OAT
yogurt,"1,69",1540,ingredient,YOGURT WHITE
corn,"0,48",1191,ingredient,MAIZE
pecan,"1,11",16095,ingredient,ALMOND SHELLED
orange,"0,30",654,ingredient,ORANGE
pineapple,"0,28",255,ingredient,PINEAPPLE
buttermilk,"1,44",1599,ingredient,BUTTERED MILK
yolk,"3,20",3270,ingredient,EGG YOLKS
eggs,"3,20",2562,ingredient,EGGS*
parmesan cheese,"9,59",5060,ingredient,CHEESE GRATED
strawberry,"0,61",413,ingredient,STRAWBERRY
lettuce,"0,41",237,ingredient,LETTUCE
black pepper,"0,65",379,ingredient,PEPPER
cilantro,"0,84",8280,ingredient,CORIANDER
thyme,,,no_match,NO_MATCH
