ingredient;cfp;wfp;mapping_type;mapped_item;data_origin;notes
salt;0.440;;ingredient;Salt;https://livelca.com/products/salt_e6c545cd-6221-4665-a1da-a562fc37ef60;
sugar;0.780;1294.500;typology;SUGAR;;
butter;8.480;5659.000;ingredient;BUTTER*;;
pepper;0.650;379.000;ingredient;PEPPER;;
onion;0.220;290.000;ingredient;ONION;;
flour;0.870;1849.000;ingredient;WHEAT FLOUR;;
egg;3.200;2562.000;ingredient;EGGS*;;
cheese;8.930;5253.000;ingredient;CHEESE;;
milk;1.310;1260.500;ingredient;COW MILK;;
water;0.490;;ingredient;MINERAL WATER*;;
oil;2.110;6792.000;typology;OIL;;
garlic;0.250;589.000;ingredient;GARLIC;;
tomato;0.450;41.000;ingredient;TOMATO;;
cinnamon;0.840;15526.000;ingredient;CINNAMON;;
vanilla;4.300;;ingredient;VANILLA;;
cream;5.450;3838.000;ingredient;CREAM;;
olive oil;3.270;14415.000;ingredient;OLIVE OIL;;
sauce;;;TOO_GENERIC;TOO_GENERIC;;
baking powder;1.140;;ingredient;DOUBLE ACTING BAKING POWDER;https://apps.carboncloud.com/climatehub/product-reports/039978003928/USA;
potato;0.240;555.000;ingredient;POTATO;;
juice;2.860;1019.000;typology;FRUIT JUICE;;FRUIT JUICE used as proxy for generic juice
carrot;0.240;195.000;ingredient;CARROT;;
powder;;;TOO_GENERIC;TOO_GENERIC;;
ginger;0.840;1657.000;ingredient;GINGER;;
brown sugar;0.780;1294.500;typology;SUGAR;;
clove;0.840;61205.000;ingredient;CLOVE;;
nutmeg;0.840;34319.000;ingredient;NUTMEG;;
celery;0.330;362.000;ingredient;CELERY;;
vinegar;1.930;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;
parsley;0.840;8280.000;typology;SPICIES;;
basil;0.300;;ingredient;BASIL FRESH;https://livelca.com/products/basil-fresh_f6a4ddbe-1c2c-44e8-886e-4d5388d33bb1;
chicken;2.820;3330.000;ingredient;CHICKEN MEAT WITH BONE;;
mayonnaise;1.460;572.000;ingredient;MAYONNAISE;;
beef;17.960;10943.000;ingredient;BEEF MEAT WITH BONE*;;
lemon;0.340;642.000;ingredient;LEMON;;
broth;1.750;;ingredient;Vegetable Bouillon, cubes;https://apps.carboncloud.com/climatehub/product-reports/id/164865146932;
rice;2.190;1597.000;ingredient;RICE*;;
cream cheese;8.930;5253.000;ingredient;CHEESE;;
bacon;5.990;6116.000;ingredient;BACON;;
lemon juice;2.860;1019.000;typology;FRUIT JUICE;;
apple;0.250;622.000;ingredient;APPLE;;
baking soda;1.140;;ingredient;BAKING SODA;https://apps.carboncloud.com/climatehub/product-reports/039978033918/USA;
bean;0.430;5053.000;ingredient;BEAN;;
soup;5.040;;ingredient;VEGETABLE CONDENSED SOUP, VEGETABLE;https://apps.carboncloud.com/climatehub/product-reports/051000212382/USA;
mustard;1.760;;ingredient;Mustard;https://livelca.com/products/mustard_7eb333ac-568e-4de9-ae04-0a4feb790282;
sour cream;5.450;3838.000;ingredient;CREAM;;
walnut;2.060;11264.000;ingredient;WALNUT;;
spinach;0.340;292.000;ingredient;SPINACH;;
wine;0.870;524.000;ingredient;WINE RED;;
mushroom;2.060;;ingredient;MUSHROOM*;;
margarine;1.390;1324.000;ingredient;MARGARINE*;;
garlic clove;0.250;589.000;ingredient;GARLIC;;
soda;1.350;;ingredient;Carbonated soft drink, aluminium can;https://apps.carboncloud.com/climatehub/product-reports/id/332704005785;Self-mapped
bread;0.860;667.000;ingredient;BREAD;;
raisin;0.810;2636.500;ingredient;RAISIN;;
olive;0.640;3015.000;ingredient;OLIVES;;
chocolate;4.300;;ingredient;CHOCOLATE;;
almond;1.880;11264.000;ingredient;ALMOND;;
banana;0.340;748.000;ingredient;BANANA;;
soy sauce;1.460;613.000;ingredient;SOY SAUCE;;
honey;1.740;;ingredient;HONEY*;;
oregano;0.840;8280.000;typology;SPICIES;;
pasta;1.210;1508.000;ingredient;PASTA*;;
extract;;;TOO_GENERIC;TOO_GENERIC;;"There is no data available for the whole category of ""extracts""; however those are usually less important ingredient in a recipe so we can deal whit this absence"
zucchini;0.700;336.000;ingredient;ZUCCHINI;;
coconut;1.070;1971.000;ingredient;COCONUT (I);;
breadcrumb;0.860;667.000;ingredient;BREAD;;
broccoli;0.570;336.000;ingredient;BROCCOLI;;
cornstarch;0.480;1191.000;ingredient;MAIZE;;
vegetable oil;2.110;6792.000;typology;OIL;;
chicken breast;3.680;3960.000;ingredient;CHICKEN BONE FREE MEAT;;
cocoa;3.160;15618.000;ingredient;COCOA POWDER;;
oat;0.670;1788.000;ingredient;OAT;;
yogurt;1.690;1540.000;ingredient;YOGURT WHITE;;
corn;0.480;1191.000;ingredient;MAIZE;;
pecan;1.110;11264.000;typology;NUTS;;
orange;0.300;654.000;ingredient;ORANGE;;
pineapple;0.550;255.000;ingredient;PINEAPPLE (I);;
buttermilk;1.440;1599.000;ingredient;BUTTERED MILK;;
yolk;3.200;3270.000;ingredient;EGG YOLKS;;
eggs;3.200;2562.000;ingredient;EGGS*;;
parmesan cheese;9.590;5060.000;ingredient;CHEESE GRATED;;
strawberry;0.610;413.000;ingredient;STRAWBERRY;;
lettuce;0.410;237.000;ingredient;LETTUCE;;
black pepper;0.650;379.000;ingredient;PEPPER;;
cilantro;0.840;8280.000;ingredient;CORIANDER;;
thyme;0.840;8280.000;typology;SPICIES;;
yeast;0.500;;ingredient;YEAST LIQUID*;;
chocolate chip;4.300;;ingredient;CHOCOLATE;;
peanut butter;1.840;;ingredient;PEANUT BUTTER;;
garlic powder;0.840;2265.000;ingredient;GARLIC POWDER;;
pea;0.450;1979.000;ingredient;PEA;;
